BBBAABBBB,BBBAAAABBBB
ABAAAA,AABAAAAAAAA
AAAAA,AAAAAAAAAA
BBA,BBAA
BB,BB
BBAABBBB,BBAAAABBBB
AA,AAAA
ABBBABBAB,AABBBAABBAAB
BAABB,BAAAABB
ABBA,AABBAA
ABB,AABB
ABBBAA,AABBBAAAA
AA,AAAA
ABAABBBB,AABAAAABBBB
ABBBABAA,AABBBAABAAAA
ABB,AABB
BABB,BAABB
ABABA,AABAABAA
AABAB,AAAABAAB
AAABBBABA,AAAAAABBBAABAA
AAABAABAA,AAAAAABAAAABAAAA
ABBAB,AABBAAB
AAB,AAAAB
AA,AAAA
BA,BAA
ABBB,AABBB
AABABA,AAAABAABAA
ABABABBBB,AABAABAABBBB
ABAABBB,AABAAAABBB
BABABAA,BAABAABAAAA
AABAABAAB,AAAABAAAABAAAAB
ABBAAAA,AABBAAAAAAAA
AAA,AAAAAA
BBABAB,BBAABAAB
BBBAABA,BBBAAAABAA
ABABABAAB,AABAABAABAAAAB
AB,AAB
BBAAABBAA,BBAAAAAABBAAAA
BAAAA,BAAAAAAAA
AABABB,AAAABAABB
AAAAAB,AAAAAAAAAAB
AAABA,AAAAAABAA
ABBBAA,AABBBAAAA
AB,AAB
BBBA,BBBAA
BBABBABBA,BBAABBAABBAA
BBB,BBB
ABAA,AABAAAA
B,B
BA,BAA
BABBABABA,BAABBAABAABAA
BBAB,BBAAB
ABAAAAB,AABAAAAAAAAB
AABABB,AAAABAABB
BBAABB,BBAAAABB
AAAABBBB,AAAAAAAABBBB
ABAAA,AABAAAAAA
BAABAA,BAAAABAAAA
ABAAAAB,AABAAAAAAAAB
BAB,BAAB
BAABB,BAAAABB
AABA,AAAABAA
BABB,BAABB
AABAAB,AAAABAAAAB
BAAAA,BAAAAAAAA
ABBBBAAA,AABBBBAAAAAA
BABABABBB,BAABAABAABBB
B,B
AA,AAAA
BBBA,BBBAA
BAA,BAAAA
AAAABABB,AAAAAAAABAABB
AAAAABB,AAAAAAAAAABB
ABAAA,AABAAAAAA
AAABABBAA,AAAAAABAABBAAAA
BBABAB,BBAABAAB
ABB,AABB
BABA,BAABAA
B,B
AABBABB,AAAABBAABB
BBAA,BBAAAA
BAABA,BAAAABAA
AABBAABAA,AAAABBAAAABAAAA
BBBB,BBBB
BBBABBA,BBBAABBAA
AB,AAB
BBABBBB,BBAABBBB
AB,AAB
BBA,BBAA
AAB,AAAAB
AAB,AAAAB
AB,AAB
AABBBA,AAAABBBAA
AABBABAB,AAAABBAABAAB
AAAAA,AAAAAAAAAA
ABAAA,AABAAAAAA
BBBBAAA,BBBBAAAAAA
AAB,AAAAB
BAABBAABB,BAAAABBAAAABB
A,AA
AB,AAB
A,AA
BBA,BBAA
ABAAA,AABAAAAAA
ABAAA,AABAAAAAA
BBBABAAB,BBBAABAAAAB
AABAA,AAAABAAAA
BBBAABB,BBBAAAABB
BAAB,BAAAAB
BA,BAA
AABB,AAAABB
BBABBAAA,BBAABBAAAAAA
AAAABAB,AAAAAAAABAAB
AAAB,AAAAAAB
BBAAABBA,BBAAAAAABBAA
AABA,AAAABAA
B,B
ABAA,AABAAAA
BABA,BAABAA
BBB,BBB
ABAAABA,AABAAAAAABAA
AAB,AAAAB
AABAA,AAAABAAAA
BA,BAA
BBAAAAA,BBAAAAAAAAAA
BAABAAA,BAAAABAAAAAA
B,B
ABA,AABAA
BABB,BAABB
BBAAABAA,BBAAAAAABAAAA
BABAAB,BAABAAAAB
BBBBAABAB,BBBBAAAABAAB
ABBABAB,AABBAABAAB
BAA,BAAAA
ABBABABAA,AABBAABAABAAAA
BA,BAA
B,B
BBABAA,BBAABAAAA
AABBABA,AAAABBAABAA
AA,AAAA
BBBABABBA,BBBAABAABBAA
BAAAB,BAAAAAAB
AAA,AAAAAA
AAABABB,AAAAAABAABB
AAAA,AAAAAAAA
BAAAAAAA,BAAAAAAAAAAAAAA
BAA,BAAAA
ABBAAABB,AABBAAAAAABB
BABAAB,BAABAAAAB
BBBBB,BBBBB
BB,BB
ABBBBBAB,AABBBBBAAB
ABABB,AABAABB
ABBAAAA,AABBAAAAAAAA
AAABABAAA,AAAAAABAABAAAAAA
BBABABB,BBAABAABB
ABB,AABB
ABBAA,AABBAAAA
AABAAB,AAAABAAAAB
BAABAAAB,BAAAABAAAAAAB
BBBBABA,BBBBAABAA
BAABB,BAAAABB
BBBBB,BBBBB
BBBABA,BBBAABAA
AA,AAAA
BABABBBAA,BAABAABBBAAAA
A,AA
B,B
BBABBAAAA,BBAABBAAAAAAAA
BAABA,BAAAABAA
BAAAAA,BAAAAAAAAAA
BABB,BAABB
BB,BB
BBBA,BBBAA
BBBA,BBBAA
BABAABAA,BAABAAAABAAAA
BAAABB,BAAAAAABB
BA,BAA
ABBB,AABBB
B,B
BAAAAAABB,BAAAAAAAAAAAABB
BABABB,BAABAABB
BAAA,BAAAAAA
BBBBABB,BBBBAABB
BAABA,BAAAABAA
BAABAAA,BAAAABAAAAAA
AABBAABBA,AAAABBAAAABBAA
AAABA,AAAAAABAA
BBBAA,BBBAAAA
AABABAA,AAAABAABAAAA
AA,AAAA
BAAB,BAAAAB
ABA,AABAA
AB,AAB
BAB,BAAB
BA,BAA
ABA,AABAA
A,AA
A,AA
AABAA,AAAABAAAA
A,AA
AABABAABB,AAAABAABAAAABB
ABBBBAABB,AABBBBAAAABB
A,AA
ABAA,AABAAAA
BABABBBA,BAABAABBBAA
BB,BB
AAAAA,AAAAAAAAAA
B,B
ABBBBBBB,AABBBBBBB
BAAABB,BAAAAAABB
BABAABA,BAABAAAABAA
BABB,BAABB
ABABBBB,AABAABBBB
BAB,BAAB
ABBBABA,AABBBAABAA
ABAAA,AABAAAAAA
AABAAABBA,AAAABAAAAAABBAA
BABAAB,BAABAAAAB
BBAAAAB,BBAAAAAAAAB
BAA,BAAAA
BABBAAB,BAABBAAAAB
BA,BAA
A,AA
BBA,BBAA
BBAB,BBAAB
BAB,BAAB
BBAABB,BBAAAABB
ABBAAABBB,AABBAAAAAABBB
BBBABA,BBBAABAA
BB,BB
BBABA,BBAABAA
BBAAA,BBAAAAAA
BABAAABAA,BAABAAAAAABAAAA
BABABA,BAABAABAA
AABABAA,AAAABAABAAAA
AABAAABA,AAAABAAAAAABAA
A,AA
BABBAB,BAABBAAB
BABAAA,BAABAAAAAA
A,AA
BBABAABAA,BBAABAAAABAAAA
BBBB,BBBB
BBABABBB,BBAABAABBB
ABABAB,AABAABAAB
BAB,BAAB
AAAA,AAAAAAAA
AB,AAB
B,B
ABBABBAB,AABBAABBAAB
AAAA,AAAAAAAA
AABABBAA,AAAABAABBAAAA
BAABB,BAAAABB
B,B
ABB,AABB
AABBBBBAB,AAAABBBBBAAB
BBABBAB,BBAABBAAB
AABAB,AAAABAAB
AA,AAAA
BAAABBBA,BAAAAAABBBAA
BBAABABA,BBAAAABAABAA
BAAABB,BAAAAAABB
ABABBAAA,AABAABBAAAAAA
BAABABBB,BAAAABAABBB
ABBBABBAB,AABBBAABBAAB
AABBAABA,AAAABBAAAABAA
B,B
BB,BB
ABA,AABAA
BBBABBB,BBBAABBB
AA,AAAA
BA,BAA
AA,AAAA
BABBBABB,BAABBBAABB
AB,AAB
A,AA
BAB,BAAB
BAAAAABB,BAAAAAAAAAABB
BABBBBB,BAABBBBB
BABABA,BAABAABAA
BABBBA,BAABBBAA
ABABB,AABAABB
BBAABAB,BBAAAABAAB
AAAABAB,AAAAAAAABAAB
BBAAA,BBAAAAAA
ABBBAABA,AABBBAAAABAA
BAAAABBA,BAAAAAAAABBAA
BAA,BAAAA
BBA,BBAA
ABBABAAA,AABBAABAAAAAA
BBAB,BBAAB
ABBBBBB,AABBBBBB
BBABBBA,BBAABBBAA
BABABBBA,BAABAABBBAA
A,AA
AB,AAB
BBBBB,BBBBB
B,B
A,AA
BABBAA,BAABBAAAA
BAABAB,BAAAABAAB
BABBA,BAABBAA
AA,AAAA
BAAAABBA,BAAAAAAAABBAA
AABAAAB,AAAABAAAAAAB
BAAAABAA,BAAAAAAAABAAAA
BBB,BBB
ABBBB,AABBBB
BBB,BBB
AB,AAB
AABABAB,AAAABAABAAB
AAA,AAAAAA
AA,AAAA
BABBABABA,BAABBAABAABAA
BBBAAABB,BBBAAAAAABB
BAAABABA,BAAAAAABAABAA
B,B
AB,AAB
A,AA
ABABABAAB,AABAABAABAAAAB
ABAAAA,AABAAAAAAAA
AABABBABB,AAAABAABBAABB
ABA,AABAA
AAB,AAAAB
ABBA,AABBAA
BA,BAA
BBBAABABA,BBBAAAABAABAA
B,B
ABBBB,AABBBB
BABAABB,BAABAAAABB
BBB,BBB
BBABB,BBAABB
A,AA
BBAA,BBAAAA
AABAABB,AAAABAAAABB
BBBBABAA,BBBBAABAAAA
ABAB,AABAAB
AABA,AAAABAA
AAAAB,AAAAAAAAB
BBA,BBAA
ABABA,AABAABAA
BBBBB,BBBBB
ABA,AABAA
BA,BAA
AAAAB,AAAAAAAAB
B,B
AAAABBAA,AAAAAAAABBAAAA
BABB,BAABB
AAABAAA,AAAAAABAAAAAA
BA,BAA
BABA,BAABAA
AA,AAAA
BB,BB
AB,AAB
B,B
AA,AAAA
BAAAAAABB,BAAAAAAAAAAAABB
BBBABABB,BBBAABAABB
BB,BB
BBABAB,BBAABAAB
BBBABAA,BBBAABAAAA
B,B
BBBABBB,BBBAABBB
BABB,BAABB
BAAABBA,BAAAAAABBAA
AABAA,AAAABAAAA
BBA,BBAA
AABBAB,AAAABBAAB
ABAAAA,AABAAAAAAAA
ABB,AABB
BAAAAAB,BAAAAAAAAAAB
AABABBBBB,AAAABAABBBBB
B,B
BAAAABA,BAAAAAAAABAA
ABB,AABB
ABBAAA,AABBAAAAAA
BB,BB
BA,BAA
AABAAAA,AAAABAAAAAAAA
BBBB,BBBB
BAAB,BAAAAB
A,AA
AABAABAA,AAAABAAAABAAAA
BBAAAABAB,BBAAAAAAAABAAB
A,AA
BABBBAA,BAABBBAAAA
BBBAABA,BBBAAAABAA
ABBBAAABA,AABBBAAAAAABAA
A,AA
BBAABBBAA,BBAAAABBBAAAA
BBABB,BBAABB
BBBBBBAB,BBBBBBAAB
ABBABBAA,AABBAABBAAAA
BBAABA,BBAAAABAA
ABABAA,AABAABAAAA
ABAABAAA,AABAAAABAAAAAA
BABBBBBBB,BAABBBBBBB
B,B
AA,AAAA
AAAA,AAAAAAAA
BAAB,BAAAAB
B,B
BBABB,BBAABB
AB,AAB
BAAAA,BAAAAAAAA
BBBBBB,BBBBBB
BBBBAA,BBBBAAAA
AA,AAAA
A,AA
BBBAABBB,BBBAAAABBB
A,AA
AABBA,AAAABBAA
AABAAAA,AAAABAAAAAAAA
AABABB,AAAABAABB
BBBAA,BBBAAAA
ABBAA,AABBAAAA
ABAAABA,AABAAAAAABAA
BBAAABBA,BBAAAAAABBAA
BBABBAA,BBAABBAAAA
AB,AAB
ABA,AABAA
ABBAAAB,AABBAAAAAAB
AA,AAAA
ABABBABAA,AABAABBAABAAAA
AABAABB,AAAABAAAABB
BAABBB,BAAAABBB
A,AA
AABB,AAAABB
AAAA,AAAAAAAA
ABAAAB,AABAAAAAAB
BBBAA,BBBAAAA
BBABBBAAA,BBAABBBAAAAAA
A,AA
BBABB,BBAABB
AABBABB,AAAABBAABB
B,B
AA,AAAA
BAAAB,BAAAAAAB
A,AA
AABABAA,AAAABAABAAAA
ABBB,AABBB
BABABABB,BAABAABAABB
BBABAAA,BBAABAAAAAA
BBABAAA,BBAABAAAAAA
AABBBBB,AAAABBBBB
ABAABAABA,AABAAAABAAAABAA
ABBBBBAB,AABBBBBAAB
BBABABAB,BBAABAABAAB
AAABBABA,AAAAAABBAABAA
AA,AAAA
AB,AAB
AB,AAB
A,AA
B,B
B,B
A,AA
AAABB,AAAAAABB
AABBABBAA,AAAABBAABBAAAA
ABAABBBA,AABAAAABBBAA
BAA,BAAAA
AA,AAAA
AA,AAAA
BBAA,BBAAAA
AAABAA,AAAAAABAAAA
BAAAB,BAAAAAAB
ABBABA,AABBAABAA
BBBBBBB,BBBBBBB
BABBB,BAABBB
ABBB,AABBB
BA,BAA
BABAABA,BAABAAAABAA
BABAAABB,BAABAAAAAABB
BBAB,BBAAB
BABA,BAABAA
BBA,BBAA
AA,AAAA
ABB,AABB
A,AA
BABB,BAABB
B,B
BB,BB
BBBABB,BBBAABB
BABABABAB,BAABAABAABAAB
BB,BB
B,B
AAABA,AAAAAABAA
AAABABB,AAAAAABAABB
BBAABAB,BBAAAABAAB
B,B
BAAB,BAAAAB
BBABBAAAB,BBAABBAAAAAAB
AABAABABA,AAAABAAAABAABAA
BA,BAA
BAAAABB,BAAAAAAAABB
AAAB,AAAAAAB
BAA,BAAAA
BAA,BAAAA
AA,AAAA
BAB,BAAB
ABAAAAA,AABAAAAAAAAAA
BA,BAA
BB,BB
ABABBB,AABAABBB
BBBBAABA,BBBBAAAABAA
A,AA
AABBBAB,AAAABBBAAB
BBBABAB,BBBAABAAB
ABA,AABAA
AABBAAAB,AAAABBAAAAAAB
BABABABBB,BAABAABAABBB
BBABBAAA,BBAABBAAAAAA
ABABA,AABAABAA
BBBBBBBB,BBBBBBBB
BABABB,BAABAABB
BBBA,BBBAA
ABAABAAB,AABAAAABAAAAB
ABABAA,AABAABAAAA
BBA,BBAA
AAAB,AAAAAAB
A,AA
BABABBB,BAABAABBB
A,AA
B,B
AAAAB,AAAAAAAAB
ABBBAA,AABBBAAAA
BA,BAA
BAB,BAAB
AABBBBB,AAAABBBBB
BAA,BAAAA
BABBABBA,BAABBAABBAA
ABBAA,AABBAAAA
AAAAABB,AAAAAAAAAABB
AAABAB,AAAAAABAAB
BB,BB
AAB,AAAAB
BAAAAABBB,BAAAAAAAAAABBB
BBB,BBB
BABABAB,BAABAABAAB
AAAABBAA,AAAAAAAABBAAAA
B,B
ABBAAAB,AABBAAAAAAB
BABABAA,BAABAABAAAA
AB,AAB
BB,BB
ABBABAB,AABBAABAAB
ABBBABBAA,AABBBAABBAAAA
BABBB,BAABBB
AABAB,AAAABAAB
AA,AAAA
BABAAAA,BAABAAAAAAAA
AA,AAAA
BAAAAAA,BAAAAAAAAAAAA
AAAAA,AAAAAAAAAA
BBABABB,BBAABAABB
BAAABAABB,BAAAAAABAAAABB
BABABBABB,BAABAABBAABB
AABBBABBB,AAAABBBAABBB
BBB,BBB
BABB,BAABB
AAAB,AAAAAAB
ABBABA,AABBAABAA
A,AA
ABAAAABAA,AABAAAAAAAABAAAA
BBBA,BBBAA
AABAAA,AAAABAAAAAA
AABABBAB,AAAABAABBAAB
AAAABABB,AAAAAAAABAABB
AAABABAAB,AAAAAABAABAAAAB
B,B
ABBBABBAB,AABBBAABBAAB
BBAB,BBAAB
BBBA,BBBAA
AAAA,AAAAAAAA
ABB,AABB
BAAABAA,BAAAAAABAAAA
ABAABBB,AABAAAABBB
BBABABAAB,BBAABAABAAAAB
AAABBABBB,AAAAAABBAABBB
ABABBBAA,AABAABBBAAAA
ABA,AABAA
ABAAABAAA,AABAAAAAABAAAAAA
BBAB,BBAAB
B,B
ABA,AABAA
BBAAA,BBAAAAAA
BBABBAB,BBAABBAAB
BABAAA,BAABAAAAAA
BAAA,BAAAAAA
AA,AAAA
AA,AAAA
AABAB,AAAABAAB
AAA,AAAAAA
BAABABA,BAAAABAABAA
BAB,BAAB
BAAABBAB,BAAAAAABBAAB
BBBBB,BBBBB
BAAB,BAAAAB
BBABABA,BBAABAABAA
BBBABBA,BBBAABBAA
AABABABAA,AAAABAABAABAAAA
BAABBBA,BAAAABBBAA
A,AA
AABA,AAAABAA
BB,BB
BAA,BAAAA
BA,BAA
ABAAABBAA,AABAAAAAABBAAAA
BBAAABA,BBAAAAAABAA
AAABA,AAAAAABAA
AAA,AAAAAA
AABBB,AAAABBB
BAA,BAAAA
BBABAAAA,BBAABAAAAAAAA
AABBBBAAB,AAAABBBBAAAAB
B,B
BBBAAAB,BBBAAAAAAB
BBBABBAA,BBBAABBAAAA
ABBBBA,AABBBBAA
AB,AAB
BBAABA,BBAAAABAA
ABAB,AABAAB
BAAAAB,BAAAAAAAAB
AABBAABB,AAAABBAAAABB
B,B
ABABAB,AABAABAAB
B,B
BAAAAA,BAAAAAAAAAA
BABA,BAABAA
ABABA,AABAABAA
AA,AAAA
BBAAAB,BBAAAAAAB
ABAAB,AABAAAAB
BBAB,BBAAB
ABBABBA,AABBAABBAA
AAA,AAAAAA
ABABABA,AABAABAABAA
ABBBBB,AABBBBB
BAA,BAAAA
ABBBABABB,AABBBAABAABB
BAA,BAAAA
BABABAA,BAABAABAAAA
ABA,AABAA
AA,AAAA
AAB,AAAAB
AB,AAB
ABAAABBB,AABAAAAAABBB
A,AA
A,AA
BAABBA,BAAAABBAA
A,AA
A,AA
ABAA,AABAAAA
AABBBB,AAAABBBB
AAA,AAAAAA
ABAAAB,AABAAAAAAB
BAABBABB,BAAAABBAABB
ABAABBAA,AABAAAABBAAAA
BAABBAAB,BAAAABBAAAAB
BBA,BBAA
AAAAAB,AAAAAAAAAAB
BABAAA,BAABAAAAAA
BB,BB
BABBAABB,BAABBAAAABB
A,AA
ABA,AABAA
BABB,BAABB
AAAAB,AAAAAAAAB
AABBAA,AAAABBAAAA
BABA,BAABAA
AA,AAAA
AAABAAA,AAAAAABAAAAAA
BBBBA,BBBBAA
ABAABBBBA,AABAAAABBBBAA
AAAAA,AAAAAAAAAA
AABBBA,AAAABBBAA
AA,AAAA
A,AA
BBBA,BBBAA
ABABBBB,AABAABBBB
ABABBBBA,AABAABBBBAA
AAAAABABA,AAAAAAAAAABAABAA
BBBBBBBAA,BBBBBBBAAAA
BABABBA,BAABAABBAA
BBABBBAB,BBAABBBAAB
AAB,AAAAB
AAA,AAAAAA
BBAAABBAB,BBAAAAAABBAAB
BAABAA,BAAAABAAAA
ABAA,AABAAAA
ABBBAABAB,AABBBAAAABAAB
AAB,AAAAB
A,AA
BBBB,BBBB
BAAAAA,BAAAAAAAAAA
BAABBBA,BAAAABBBAA
ABAA,AABAAAA
AAABAAB,AAAAAABAAAAB
A,AA
BAAB,BAAAAB
AAAAB,AAAAAAAAB
AAABABBB,AAAAAABAABBB
ABB,AABB
ABABBBA,AABAABBBAA
AA,AAAA
A,AA
ABBAABBB,AABBAAAABBB
ABBB,AABBB
ABAAAAAAB,AABAAAAAAAAAAAAB
ABABABAA,AABAABAABAAAA
BBABA,BBAABAA
BABAA,BAABAAAA
B,B
AAAAAB,AAAAAAAAAAB
BBBBA,BBBBAA
BBABAAAA,BBAABAAAAAAAA
BBBA,BBBAA
BAAA,BAAAAAA
BB,BB
BAB,BAAB
BBABABBAA,BBAABAABBAAAA
BAABAAABA,BAAAABAAAAAABAA
BAAAA,BAAAAAAAA
A,AA
BB,BB
BAABBBABB,BAAAABBBAABB
BB,BB
BAABA,BAAAABAA
BAAABB,BAAAAAABB
A,AA
B,B
ABBAAAA,AABBAAAAAAAA
AAAABBB,AAAAAAAABBB
AAABAAAA,AAAAAABAAAAAAAA
BBAABA,BBAAAABAA
BA,BAA
B,B
B,B
AABBA,AAAABBAA
BABAB,BAABAAB
AAABBAABB,AAAAAABBAAAABB
BAABBAA,BAAAABBAAAA
ABABBAAA,AABAABBAAAAAA
AABAAB,AAAABAAAAB
BAB,BAAB
BAABABAA,BAAAABAABAAAA
BB,BB
A,AA
BABABBABB,BAABAABBAABB
AB,AAB
AABBA,AAAABBAA
BABBABA,BAABBAABAA
BB,BB
BBABBABB,BBAABBAABB
ABAAA,AABAAAAAA
ABAB,AABAAB
AAABBAAA,AAAAAABBAAAAAA
AAABBB,AAAAAABBB
AAA,AAAAAA
BA,BAA
A,AA
B,B
BABBA,BAABBAA
BBB,BBB
B,B
AAA,AAAAAA
BABA,BAABAA
BBBB,BBBB
BA,BAA
ABBBA,AABBBAA
A,AA
AAB,AAAAB
BBBA,BBBAA
ABABAA,AABAABAAAA
B,B
BABB,BAABB
ABBAAB,AABBAAAAB
BBBBAB,BBBBAAB
AB,AAB
BBAA,BBAAAA
BBBABABA,BBBAABAABAA
ABAABAABB,AABAAAABAAAABB
BABABB,BAABAABB
BABBB,BAABBB
ABAB,AABAAB
BAAAABBBB,BAAAAAAAABBBB
BABB,BAABB
AABBBABBA,AAAABBBAABBAA
BBABAAB,BBAABAAAAB
BAABB,BAAAABB
BA,BAA
AAAB,AAAAAAB
BB,BB
ABBABBAAB,AABBAABBAAAAB
AAABAABA,AAAAAABAAAABAA
BAAABAAB,BAAAAAABAAAAB
A,AA
BBAA,BBAAAA
BABB,BAABB
ABB,AABB
BBAABABBB,BBAAAABAABBB
ABBBB,AABBBB
AA,AAAA
BAAABABAA,BAAAAAABAABAAAA
AA,AAAA
B,B
B,B
AABABAA,AAAABAABAAAA
AB,AAB
BBBBB,BBBBB
BBABAB,BBAABAAB
AAAAAA,AAAAAAAAAAAA
ABBBAAABA,AABBBAAAAAABAA
AAB,AAAAB
AABBBAAAA,AAAABBBAAAAAAAA
AAA,AAAAAA
AA,AAAA
AB,AAB
BAAA,BAAAAAA
B,B
A,AA
BBBA,BBBAA
BBABA,BBAABAA
BBBBBBBA,BBBBBBBAA
BBBBBBAB,BBBBBBAAB
A,AA
AAB,AAAAB
AAABBA,AAAAAABBAA
AABAAA,AAAABAAAAAA
BBB,BBB
BAABAB,BAAAABAAB
BBBBAA,BBBBAAAA
BAAABBAAA,BAAAAAABBAAAAAA
BAA,BAAAA
BBABBAAA,BBAABBAAAAAA
BBABBBAA,BBAABBBAAAA
B,B
BAAABBAB,BAAAAAABBAAB
AB,AAB
BBABB,BBAABB
BBBB,BBBB
BABB,BAABB
BAB,BAAB
BABAAAA,BAABAAAAAAAA
A,AA
AAB,AAAAB
AA,AAAA
A,AA
BBBABB,BBBAABB
B,B
BBBBABBA,BBBBAABBAA
AABBBABBB,AAAABBBAABBB
B,B
BBBAAB,BBBAAAAB
AABA,AAAABAA
BAABB,BAAAABB
ABBBA,AABBBAA
ABABAA,AABAABAAAA
BBABBBA,BBAABBBAA
BA,BAA
BBAABA,BBAAAABAA
AAAABB,AAAAAAAABB
BBBBAA,BBBBAAAA
ABB,AABB
ABBBBA,AABBBBAA
BABAAA,BAABAAAAAA
BAAB,BAAAAB
AABBAAA,AAAABBAAAAAA
AA,AAAA
BBBA,BBBAA
BABABABA,BAABAABAABAA
AA,AAAA
AAABABA,AAAAAABAABAA
AABBAB,AAAABBAAB
BABA,BAABAA
AABABABBB,AAAABAABAABBB
BAABBBBBB,BAAAABBBBBB
BBABA,BBAABAA
ABAAAB,AABAAAAAAB
BABBAABB,BAABBAAAABB
AAAAABBBB,AAAAAAAAAABBBB
AABBABBAA,AAAABBAABBAAAA
ABABABBBA,AABAABAABBBAA
AAAABA,AAAAAAAABAA
A,AA
BBA,BBAA
AB,AAB
AABABAABB,AAAABAABAAAABB
ABA,AABAA
AABA,AAAABAA
B,B
ABA,AABAA
AABB,AAAABB
BAAAABA,BAAAAAAAABAA
BA,BAA
ABABAAAA,AABAABAAAAAAAA
AAABABA,AAAAAABAABAA
AB,AAB
BAB,BAAB
ABBAAAB,AABBAAAAAAB
AAB,AAAAB
BBBBA,BBBBAA
AABABBAB,AAAABAABBAAB
B,B
AABABBA,AAAABAABBAA
AAB,AAAAB
BBBBBABA,BBBBBAABAA
BAAA,BAAAAAA
AABA,AAAABAA
ABA,AABAA
BBABA,BBAABAA
BBBBBAB,BBBBBAAB
ABBBB,AABBBB
AABBBABBB,AAAABBBAABBB
AABA,AAAABAA
AAAB,AAAAAAB
B,B
ABABBBAAA,AABAABBBAAAAAA
AABAABBB,AAAABAAAABBB
A,AA
BA,BAA
AA,AAAA
ABBAABAAA,AABBAAAABAAAAAA
AAAA,AAAAAAAA
ABB,AABB
AA,AAAA
AAAAAAA,AAAAAAAAAAAAAA
BBAAAAAA,BBAAAAAAAAAAAA
ABAABBA,AABAAAABBAA
BABAAA,BAABAAAAAA
AAAA,AAAAAAAA
AABA,AAAABAA
BAAABABBB,BAAAAAABAABBB
ABBBAB,AABBBAAB
BAAAA,BAAAAAAAA
BBBBA,BBBBAA
ABAAA,AABAAAAAA
BAAAAAAAA,BAAAAAAAAAAAAAAAA
BBAAB,BBAAAAB
BAABBBBAA,BAAAABBBBAAAA
BBBB,BBBB
BB,BB
B,B
BABB,BAABB
ABBAABAA,AABBAAAABAAAA
BBA,BBAA
A,AA
AAAA,AAAAAAAA
BABABAAB,BAABAABAAAAB
A,AA
AABBAAABB,AAAABBAAAAAABB
BBAAABA,BBAAAAAABAA
AABAAB,AAAABAAAAB
ABABBBAAA,AABAABBBAAAAAA
A,AA
BAAAABABB,BAAAAAAAABAABB
BBA,BBAA
BBBA,BBBAA
ABABAABAA,AABAABAAAABAAAA
B,B
AA,AAAA
ABBBBABA,AABBBBAABAA
BAA,BAAAA
BBBBBAB,BBBBBAAB
AABABA,AAAABAABAA
BBBBABAA,BBBBAABAAAA
AAAA,AAAAAAAA
AABAAA,AAAABAAAAAA
ABBA,AABBAA
BABBBAAA,BAABBBAAAAAA
BBBA,BBBAA
ABBBBA,AABBBBAA
BABA,BAABAA
AAA,AAAAAA
AAABBAB,AAAAAABBAAB
AAAB,AAAAAAB
AB,AAB
ABABBABA,AABAABBAABAA
BBAABAABB,BBAAAABAAAABB
BBBAAA,BBBAAAAAA
AABBBAB,AAAABBBAAB
A,AA
AAAABB,AAAAAAAABB
BABBBAB,BAABBBAAB
A,AA
AB,AAB
AABBA,AAAABBAA
A,AA
BBABBABBA,BBAABBAABBAA
BAAABA,BAAAAAABAA
AAA,AAAAAA
BABAAAB,BAABAAAAAAB
B,B
BAAA,BAAAAAA
B,B
ABBAA,AABBAAAA
A,AA
BABAAABBB,BAABAAAAAABBB
B,B
BBA,BBAA
B,B
BBBABBAAB,BBBAABBAAAAB
AAA,AAAAAA
B,B
BBABBAA,BBAABBAAAA
BAABAA,BAAAABAAAA
ABABBBABB,AABAABBBAABB
AB,AAB
ABBBBBBA,AABBBBBBAA
BA,BAA
AABAB,AAAABAAB
BBBAB,BBBAAB
BBBAB,BBBAAB
AAAAB,AAAAAAAAB
BBBBAA,BBBBAAAA
ABABABBBA,AABAABAABBBAA
B,B
AAAABB,AAAAAAAABB
BAAAABBAA,BAAAAAAAABBAAAA
BABBBABBA,BAABBBAABBAA
ABAABABAB,AABAAAABAABAAB
AAA,AAAAAA
BBAABBAB,BBAAAABBAAB
AABAAABBB,AAAABAAAAAABBB
BA,BAA
BBABABABA,BBAABAABAABAA
BAAAABA,BAAAAAAAABAA
BAAAB,BAAAAAAB
B,B
ABABBAB,AABAABBAAB
ABAAAAAA,AABAAAAAAAAAAAA
BABBBABAB,BAABBBAABAAB
AAAA,AAAAAAAA
BAAAABABB,BAAAAAAAABAABB
BAABB,BAAAABB
BABBB,BAABBB
ABAAAABA,AABAAAAAAAABAA
AAAAABBAA,AAAAAAAAAABBAAAA
BBAAABBBB,BBAAAAAABBBB
BABBA,BAABBAA
ABBBB,AABBBB
BABAAB,BAABAAAAB
AAAA,AAAAAAAA
BBABBAB,BBAABBAAB
A,AA
BBABBA,BBAABBAA
BBA,BBAA
BA,BAA
ABAABAABB,AABAAAABAAAABB
BBBBBB,BBBBBB
AABBBAB,AAAABBBAAB
BAAAABBA,BAAAAAAAABBAA
AA,AAAA
ABBBBBB,AABBBBBB
ABABBAB,AABAABBAAB
ABB,AABB
A,AA
ABBAABA,AABBAAAABAA
ABAAB,AABAAAAB
BBBABAAA,BBBAABAAAAAA
BBAAAB,BBAAAAAAB
BB,BB
A,AA
BBABBBA,BBAABBBAA
B,B
BBBBAB,BBBBAAB
AB,AAB
AAAABBBA,AAAAAAAABBBAA
BAB,BAAB
BAA,BAAAA
A,AA
ABA,AABAA
BBBAABA,BBBAAAABAA
